Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,47.93,47.96,46.6,47.02,47.02,295737
2020-12-23,46.79,48.5,46.16,48.12,48.12,344306
2020-12-24,48.09,48.62,47.56,48.23,48.23,167390
2020-12-28,48.23,48.96,47.5,47.62,47.62,238462
2020-12-29,47.72,48.35,47.68,48,48,213778
2020-12-30,48.13,48.66,47.61,48.4,48.4,266957
2020-12-31,48.35,48.58,47.77,48.52,48.52,181894
2021-01-04,48.4,49.83,47.18,47.62,47.62,528525
2021-01-05,47.38,50.2,47.24,49.93,49.93,643191
2021-01-06,49.82,50.94,49.48,50.63,50.63,509365
2021-01-07,50.53,51.28,50.39,50.83,50.83,369292
2021-01-08,50.93,52.75,50.81,52.24,52.24,499416
2021-01-11,52.58,52.7,51.5,52.25,52.25,394822
2021-01-12,52.18,53.45,52.07,53.21,53.21,400200
2021-01-13,53.31,53.93,52.58,52.91,52.91,429898
2021-01-14,52.84,53.75,52.24,53.57,53.57,390087
2021-01-15,53.8,53.83,51.83,52.36,52.36,165668
2021-01-19,52,53.13,51.76,52.98,52.98,125964
2021-01-20,53.13,53.79,53.05,53.24,53.24,400301
2021-01-21,52.93,53.41,52.75,53.13,53.13,352397
2021-01-22,53.1,53.16,51.44,52.27,52.27,437484
2021-01-25,52.17,52.95,51.82,52.77,52.77,349076
2021-01-26,52.91,53.25,52.29,52.61,52.61,314538
2021-01-27,52.76,53.3,51.85,52.85,52.85,442376
2021-01-28,52.65,53.58,52.04,52.34,52.34,411406
2021-01-29,52.15,53.25,51.93,52.2,52.2,410914
2021-02-01,51.99,53.74,51.64,53.55,53.55,416067
2021-02-02,53.48,55.26,53.45,54.76,54.76,463718
2021-02-03,55.05,56.33,54.81,55.69,55.69,448693
2021-02-04,55.96,56.58,55.3,56.23,56.23,381404
2021-02-05,56.46,57.29,56.43,56.85,56.85,400833
2021-02-08,57.06,58.14,57,57.97,57.97,399724
2021-02-09,58.11,58.62,57.27,58.36,58.36,514698
2021-02-10,58.45,58.91,58.08,58.68,58.68,457535
